127.0.0.1 - - [13/Oct/2017:09:56:32 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:56:32 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:56:32 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:56:34 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:56:34 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:56:34 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34384
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:56:35 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:56:35 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:15 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:17 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:17 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:17 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:29 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0 HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:34 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0_0 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:35 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0_1 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:36 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0_2 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:45 +0530] "GET /HodsDemo/Views/division.jsp HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:48 +0530] "POST /HodsDemo/DataFeeding?parent=Node_2 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:58:48 +0530] "POST /HodsDemo/DataFeeding?parent=Node_1 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:59:04 +0530] "POST /HodsDemo/DataFeeding?parent=Node_3 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:59:06 +0530] "POST /HodsDemo/DataFeeding?parent=Node_4 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:59:07 +0530] "POST /HodsDemo/DataFeeding?parent=Node_5 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:59:08 +0530] "POST /HodsDemo/DataFeeding?parent=Node_6 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Oct/2017:09:59:09 +0530] "POST /HodsDemo/DataFeeding?parent=Node_7 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:26 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:27 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:28 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:28 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:29 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0 HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:51 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:51 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 200 6363
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:51 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34384
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:52 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:01:52 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:03:58 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:03:59 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:03:59 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34418
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:03:59 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:03:59 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:09 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:09 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:09 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:09 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:11 +0530] "GET /HodsDemo/Views/division.jsp HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:20 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:22 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:22 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:22 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:22 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:31 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:33 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:33 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:33 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:33 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:48 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:48 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:48 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34418
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:49 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:04:49 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:08 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:08 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:08 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34418
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:08 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:08 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:17 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:17 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:17 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34418
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:18 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:18 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:38 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:38 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:38 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34419
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:38 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:38 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:46 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:46 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:46 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34419
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:47 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:47 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:50 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0 HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:51 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0_0 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:05:55 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0_1 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:06:20 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 6160
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:06:20 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:06:20 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 34419
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:06:21 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:06:21 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:56:15 +0530] "GET /HodsDemo/Views/division.jsp HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:56:16 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0 HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:56:18 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0_0 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [13/Oct/2017:10:56:20 +0530] "POST /HodsDemo/DataFeeding?parent=Node_0_1 HTTP/1.1" 200 33
