127.0.0.1 - - [06/Nov/2017:10:27:35 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:37 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:37 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:40 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:40 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:40 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:40 +0530] "GET /HodsDemo/CSS/cust.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:40 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:27:41 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:40:49 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:40:51 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:40:52 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:40:52 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:41:10 +0530] "GET /HodsDemo/ HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:41:12 +0530] "GET /HodsDemo/TestServlet HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:41:12 +0530] "GET /HodsDemo/JS/index.js HTTP/1.1" 200 6363
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:41:12 +0530] "GET /HodsDemo/JS/controller.js HTTP/1.1" 200 37664
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:41:12 +0530] "GET /HodsDemo/CSS/cust.css HTTP/1.1" 200 4419
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:41:13 +0530] "GET /HodsDemo/DataFeeding HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [06/Nov/2017:10:41:13 +0530] "GET /HodsDemo/Views/add.jsp HTTP/1.1" 200 4733
