what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853265063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853269609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853277698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853279461
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504853310916
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504853323236
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504853324077
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1504853326058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504853342596
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504853343471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504853422725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504853423155
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504853424684
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1504853426780
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1504853427258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853430691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853432461
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504853432509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853436176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504853436199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1504853440664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504853441375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853442494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853447537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853450325
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504853450353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853453193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504853453215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853456029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853457901
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1504853460676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853460767
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1504853460778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853461047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853461189
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504853464534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504853469632
