127.0.0.1 - - [05/Oct/2017:11:05:09 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:30 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:30 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/ HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/css/webix.css HTTP/1.1" 200 173592
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/angular.min.js HTTP/1.1" 200 91028
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/webix.js HTTP/1.1" 200 643634
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/angular-ui-router.min.js HTTP/1.1" 200 32447
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/controller/MenuRenderController.js HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/treedata.js HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/controller/ModuleController.js HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/controller/TreeController.js HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/jquery-3.2.0.js HTTP/1.1" 200 267686
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/table.html HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/js/views/header.html HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/templates/partial-home.html HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/css/fonts/PTS-bold.woff HTTP/1.1" 200 61976
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/css/fonts/PTS-webfont.woff HTTP/1.1" 200 56820
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:05:49 +0530] "GET /WebixAngularPOC/css/fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 200 71508
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:06:02 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:28 +0530] "GET /WebixAngularPOC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:28 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:28 +0530] "GET /WebixAngularPOC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:28 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:08:29 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [05/Oct/2017:11:21:56 +0530] "GET /WebixAngularPOC/loadTree HTTP/1.1" 200 812
